DATE,NASDAQCOM
1971-04-01,109.2152380952380952
1971-07-01,108.4165625000000000
1971-10-01,107.3075000000000000
1972-01-01,122.3295238095238095
1972-04-01,131.0742187500000000
1972-07-01,129.4215873015873016
1972-10-01,131.3296721311475410
1973-01-01,125.8124193548387097
1973-04-01,106.9201587301587302
1973-07-01,105.4695238095238095
1973-10-01,101.9875000000000000
1974-01-01,93.8506451612903226
1974-04-01,84.7006349206349206
1974-07-01,66.1128125000000000
1974-10-01,61.1637500000000000
1975-01-01,70.3078688524590164
1975-04-01,81.0893750000000000
1975-07-01,80.0689062500000000
1975-10-01,77.0264062500000000
1976-01-01,87.6700000000000000
1976-04-01,89.3914285714285714
1976-07-01,91.2356250000000000
1976-10-01,91.2741269841269841
1977-01-01,96.2174603174603175
1977-04-01,96.6503174603174603
1977-07-01,100.7561904761904762
1977-10-01,101.2165079365079365
1978-01-01,102.4364516129032258
1978-04-01,117.4895312500000000
1978-07-01,130.0871428571428571
1978-10-01,119.8484126984126984
1979-01-01,125.4920634920634921
1979-04-01,133.4446031746031746
1979-07-01,144.7433333333333333
1979-10-01,142.5237500000000000
1980-01-01,152.5252380952380952
1980-04-01,145.8001587301587302
1980-07-01,177.8731250000000000
1980-10-01,198.0879365079365079
1981-01-01,199.2969354838709677
1981-04-01,217.2901587301587302
1981-07-01,200.7160937500000000
1981-10-01,195.4109375000000000
1982-01-01,180.7909677419354839
1982-04-01,179.3098412698412698
1982-07-01,173.9296875000000000
1982-10-01,221.4710937500000000
1983-01-01,254.9928571428571429
1983-04-01,301.0704761904761905
1983-07-01,304.0273437500000000
1983-10-01,281.3484126984126984
1984-01-01,262.4971428571428571
1984-04-01,242.9893650793650794
1984-07-01,244.8655555555555556
1984-10-01,245.2678125000000000
1985-01-01,275.1483870967741935
1985-04-01,286.2169841269841270
1985-07-01,296.4620634920634921
1985-10-01,302.7370312500000000
1986-01-01,347.8529508196721311
1986-04-01,389.7600000000000000
1986-07-01,373.4625000000000000
1986-10-01,355.8987500000000000
1987-01-01,409.6743548387096774
1987-04-01,421.1458730158730159
1987-07-01,439.8906250000000000
1987-10-01,340.0950000000000000
1988-01-01,357.0576190476190476
1988-04-01,378.5049206349206349
1988-07-01,384.1292187500000000
1988-10-01,377.8942857142857143
1989-01-01,399.0517741935483871
1989-04-01,434.0823437500000000
1989-07-01,459.3895238095238095
1989-10-01,458.1255555555555556
1990-01-01,433.7406349206349206
1990-04-01,444.8484126984126984
1990-07-01,407.7855555555555556
1990-10-01,351.2521875000000000
1991-01-01,427.5075409836065574
1991-04-01,492.6103125000000000
1991-07-01,507.3253125000000000
1991-10-01,536.2975000000000000
1992-01-01,622.0039682539682540
1992-04-01,576.7388888888888889
1992-07-01,572.7345312500000000
1992-10-01,625.5578125000000000
1993-01-01,685.7841935483870968
1993-04-01,682.5295238095238095
1993-07-01,724.8340625000000000
1993-10-01,766.0473437500000000
1994-01-01,787.1079365079365079
1994-04-01,727.5366129032258065
1994-07-01,739.1634375000000000
1994-10-01,752.6226984126984127
1995-01-01,783.8669841269841270
1995-04-01,865.5382539682539683
1995-07-01,1013.1388888888888889
1995-10-01,1038.2077777777777778
1996-01-01,1069.4400000000000000
1996-04-01,1187.3268253968253968
1996-07-01,1140.7145312500000000
1996-10-01,1261.1681250000000000
1997-01-01,1326.0750819672131148
1997-04-01,1331.6457812500000000
1997-07-01,1594.9971875000000000
1997-10-01,1618.5120312500000000
1998-01-01,1691.3965573770491803
1998-04-01,1827.5004761904761905
1998-07-01,1798.8503125000000000
1998-10-01,1857.5378125000000000
1999-01-01,2370.1180327868852459
1999-04-01,2523.9461904761904762
1999-07-01,2729.1765625000000000
1999-10-01,3269.3696875000000000
2000-01-01,4427.8734920634920635
2000-04-01,3747.2185714285714286
2000-07-01,3933.1884126984126984
2000-10-01,3026.4128571428571429
2001-01-01,2355.5251612903225806
2001-04-01,2079.6269841269841270
2001-07-01,1876.2133898305084746
2001-10-01,1826.9276562500000000
2002-01-01,1882.7951666666666667
2002-04-01,1645.7850000000000000
2002-07-01,1309.9560937500000000
2002-10-01,1341.8310937500000000
2003-01-01,1351.6606557377049180
2003-04-01,1521.9215873015873016
2003-07-01,1765.1989062500000000
2003-10-01,1934.0776562500000000
2004-01-01,2038.8214516129032258
2004-04-01,1985.0020967741935484
2004-07-01,1872.0953125000000000
2004-10-01,2051.7698437500000000
2005-01-01,2055.0155737704918033
2005-04-01,2013.2076562500000000
2005-07-01,2149.5334375000000000
2005-10-01,2178.6719047619047619
2006-01-01,2288.7962903225806452
2006-04-01,2235.7804761904761905
2006-07-01,2140.8200000000000000
2006-10-01,2388.6460317460317460
2007-01-01,2442.8518032786885246
2007-04-01,2553.3615873015873016
2007-07-01,2606.6666666666666667
2007-10-01,2704.6778125000000000
2008-01-01,2334.3088524590163934
2008-04-01,2425.3560937500000000
2008-07-01,2290.6703125000000000
2008-10-01,1604.3462500000000000
2009-01-01,1483.3885245901639344
2009-04-01,1733.0061904761904762
2009-07-01,1983.5059375000000000
2009-10-01,2162.9146875000000000
2010-01-01,2280.5522950819672131
2010-04-01,2342.0626984126984127
2010-07-01,2237.4564062500000000
2010-10-01,2536.1300000000000000
2011-01-01,2739.4193548387096774
2011-04-01,2764.9017460317460317
2011-07-01,2606.6359375000000000
2011-10-01,2600.9136507936507937
2012-01-01,2907.1880645161290323
2012-04-01,2926.4838095238095238
2012-07-01,3026.5552380952380952
2012-10-01,3001.6558064516129032
2013-01-01,3176.3761666666666667
2013-04-01,3368.0129687500000000
2013-07-01,3640.8954687500000000
2013-10-01,3957.0762500000000000
2014-01-01,4210.4047540983606557
2014-04-01,4195.8063492063492063
2014-07-01,4482.7428125000000000
2014-10-01,4600.9385937500000000
2015-01-01,4825.2644262295081967
2015-04-01,5030.1671428571428571
2015-07-01,4924.3281250000000000
2015-10-01,4998.1381250000000000
2016-01-01,4614.2006557377049180
2016-04-01,4845.7121875000000000
2016-07-01,5168.8890625000000000
2016-10-01,5309.8903174603174603
2017-01-01,5736.3222580645161290
2017-04-01,6095.4417460317460317
2017-07-01,6343.1301587301587302
2017-10-01,6758.3811111111111111
2018-01-01,7253.8485245901639344
2018-04-01,7355.9388593750000000
2018-07-01,7874.5765873015873016
2018-10-01,7215.1139682539682540
2019-01-01,7343.6219672131147541
2019-04-01,7876.6662968750000000
2019-07-01,8067.4640625000000000
2019-10-01,8445.7089062500000000
2020-01-01,8771.7291935483870968
2020-04-01,9091.0000000000000000
2020-07-01,10926.833593750000
2020-10-01,11954.446562500000
2021-01-01,13351.456393442623
2021-04-01,13847.628095238095
2021-07-01,14839.972343750000
2021-10-01,15390.786718750000
2022-01-01,14000.619838709677
2022-04-01,12195.240000000000
2022-07-01,11891.069843750000
2022-10-01,10871.376031746032
2023-01-01,11481.441129032258
2023-04-01,12676.755161290323
2023-07-01,13785.277936507937
2023-10-01,13910.692698412698
2024-01-01,15692.028688524590
2024-04-01,16621.268571428571
2024-07-01,17610.607968750000
2024-10-01,.
