DATE,TOTRESNS
1959-01-01,18.6333333333333333
1959-04-01,18.6000000000000000
1959-07-01,18.6333333333333333
1959-10-01,18.7333333333333333
1960-01-01,18.3333333333333333
1960-04-01,18.2000000000000000
1960-07-01,18.5333333333333333
1960-10-01,19.0333333333333333
1961-01-01,19.0333333333333333
1961-04-01,18.9333333333333333
1961-07-01,19.2333333333333333
1961-10-01,19.8666666666666667
1962-01-01,19.7333333333333333
1962-04-01,19.8000000000000000
1962-07-01,20.0333333333333333
1962-10-01,19.9666666666666667
1963-01-01,19.7000000000000000
1963-04-01,19.6666666666666667
1963-07-01,19.9000000000000000
1963-10-01,20.2666666666666667
1964-01-01,20.3333333333333333
1964-04-01,20.3333333333333333
1964-07-01,20.7000000000000000
1964-10-01,21.2666666666666667
1965-01-01,21.3666666666666667
1965-04-01,21.5666666666666667
1965-07-01,21.7666666666666667
1965-10-01,22.2000000000000000
1966-01-01,22.4000000000000000
1966-04-01,22.5333333333333333
1966-07-01,23.0000000000000000
1966-10-01,23.4666666666666667
1967-01-01,23.7333333333333333
1967-04-01,23.4000000000000000
1967-07-01,24.0000000000000000
1967-10-01,24.9000000000000000
1968-01-01,25.6666666666666667
1968-04-01,25.5666666666666667
1968-07-01,26.0333333333333333
1968-10-01,26.8666666666666667
1969-01-01,27.4000000000000000
1969-04-01,27.4333333333333333
1969-07-01,27.0333333333333333
1969-10-01,27.7333333333333333
1970-01-01,28.1000000000000000
1970-04-01,27.8666666666666667
1970-07-01,28.4333333333333333
1970-10-01,28.8333333333333333
1971-01-01,30.0000000000000000
1971-04-01,30.1000000000000000
1971-07-01,30.6333333333333333
1971-10-01,31.0000000000000000
1972-01-01,32.2333333333333333
1972-04-01,32.6333333333333333
1972-07-01,33.0666666666666667
1972-10-01,32.3333333333333333
1973-01-01,32.1666666666666667
1973-04-01,32.3000000000000000
1973-07-01,33.7333333333333333
1973-10-01,34.9333333333333333
1974-01-01,35.5666666666666667
1974-04-01,36.3333333333333333
1974-07-01,37.1333333333333333
1974-10-01,36.8666666666666667
1975-01-01,35.9666666666666667
1975-04-01,34.8333333333333333
1975-07-01,34.6666666666666667
1975-10-01,34.7333333333333333
1976-01-01,34.5333333333333333
1976-04-01,34.0333333333333333
1976-07-01,34.1000000000000000
1976-10-01,34.7333333333333333
1977-01-01,34.8666666666666667
1977-04-01,34.6333333333333333
1977-07-01,35.2333333333333333
1977-10-01,36.0333333333333333
1978-01-01,37.0000000000000000
1978-04-01,37.1333333333333333
1978-07-01,37.8666666666666667
1978-10-01,39.9000000000000000
1979-01-01,41.3333333333333333
1979-04-01,40.3333333333333333
1979-07-01,40.9000000000000000
1979-10-01,43.1000000000000000
1980-01-01,43.8333333333333333
1980-04-01,44.1333333333333333
1980-07-01,41.5000000000000000
1980-10-01,41.2000000000000000
1981-01-01,40.4000000000000000
1981-04-01,40.4000000000000000
1981-07-01,40.8666666666666667
1981-10-01,41.1666666666666667
1982-01-01,41.2333333333333333
1982-04-01,39.5666666666666667
1982-07-01,40.0666666666666667
1982-10-01,41.2333333333333333
1983-01-01,39.9000000000000000
1983-04-01,38.4666666666666667
1983-07-01,38.5000000000000000
1983-10-01,38.3666666666666667
1984-01-01,37.5333333333333333
1984-04-01,37.0333333333333333
1984-07-01,37.6000000000000000
1984-10-01,39.4666666666666667
1985-01-01,40.5666666666666667
1985-04-01,41.6666666666666667
1985-07-01,43.4000000000000000
1985-10-01,46.6666666666666667
1986-01-01,47.3000000000000000
1986-04-01,49.1000000000000000
1986-07-01,51.8333333333333333
1986-10-01,56.7666666666666667
1987-01-01,57.9000000000000000
1987-04-01,58.8333333333333333
1987-07-01,59.0000000000000000
1987-10-01,61.4666666666666667
1988-01-01,60.8666666666666667
1988-04-01,61.5333333333333333
1988-07-01,62.2333333333333333
1988-10-01,62.6666666666666667
1989-01-01,61.3666666666666667
1989-04-01,59.9000000000000000
1989-07-01,60.0000000000000000
1989-10-01,61.3333333333333333
1990-01-01,61.3666666666666667
1990-04-01,61.3000000000000000
1990-07-01,61.0000000000000000
1990-10-01,60.7000000000000000
1991-01-01,49.3333333333333333
1991-04-01,49.9333333333333333
1991-07-01,50.8000000000000000
1991-10-01,53.4000000000000000
1992-01-01,55.7666666666666667
1992-04-01,49.5666666666666667
1992-07-01,50.5000000000000000
1992-10-01,54.8000000000000000
1993-01-01,54.7333333333333333
1993-04-01,56.6000000000000000
1993-07-01,58.2000000000000000
1993-10-01,61.3666666666666667
1994-01-01,60.4000000000000000
1994-04-01,60.2333333333333333
1994-07-01,59.8000000000000000
1994-10-01,60.3000000000000000
1995-01-01,58.6000000000000000
1995-04-01,57.5333333333333333
1995-07-01,57.1333333333333333
1995-10-01,56.9000000000000000
1996-01-01,55.2000000000000000
1996-04-01,54.2666666666666667
1996-07-01,51.8666666666666667
1996-10-01,50.1666666666666667
1997-01-01,48.7666666666666667
1997-04-01,46.8333333333333333
1997-07-01,46.4000000000000000
1997-10-01,46.6666666666666667
1998-01-01,46.1000000000000000
1998-04-01,45.5666666666666667
1998-07-01,44.5000000000000000
1998-10-01,44.4666666666666667
1999-01-01,45.1666666666666667
1999-04-01,43.5666666666666667
1999-07-01,41.5333333333333333
1999-10-01,41.1333333333333333
2000-01-01,42.0000000000000000
2000-04-01,40.5333333333333333
2000-07-01,39.5333333333333333
2000-10-01,38.6333333333333333
2001-01-01,38.7666666666666667
2001-04-01,38.7000000000000000
2001-07-01,45.5333333333333333
2001-10-01,41.9333333333333333
2002-01-01,42.1666666666666667
2002-04-01,39.9333333333333333
2002-07-01,39.3666666666666667
2002-10-01,39.4000000000000000
2003-01-01,41.8000000000000000
2003-04-01,41.6666666666666667
2003-07-01,44.7000000000000000
2003-10-01,42.9000000000000000
2004-01-01,44.5333333333333333
2004-04-01,46.0333333333333333
2004-07-01,46.3666666666666667
2004-10-01,46.0333333333333333
2005-01-01,47.6333333333333333
2005-04-01,46.2666666666666667
2005-07-01,46.2333333333333333
2005-10-01,44.9666666666666667
2006-01-01,44.8000000000000000
2006-04-01,45.1000000000000000
2006-07-01,43.4000000000000000
2006-10-01,42.3666666666666667
2007-01-01,42.6333333333333333
2007-04-01,43.5000000000000000
2007-07-01,43.5000000000000000
2007-10-01,42.7333333333333333
2008-01-01,44.1666666666666667
2008-04-01,45.9000000000000000
2008-07-01,64.9000000000000000
2008-10-01,581.6000000000000000
2009-01-01,779.7666666666666667
2009-04-01,864.7333333333333333
2009-07-01,849.2666666666666667
2009-10-01,1112.9000000000000000
2010-01-01,1174.1333333333333333
2010-04-01,1109.3000000000000000
2010-07-01,1073.6000000000000000
2010-10-01,1052.1000000000000000
2011-01-01,1269.6333333333333333
2011-04-01,1594.5333333333333333
2011-07-01,1668.9000000000000000
2011-10-01,1610.0000000000000000
2012-01-01,1628.4666666666666667
2012-04-01,1566.8666666666666667
2012-07-01,1561.1666666666666667
2012-10-01,1547.3666666666666667
2013-01-01,1727.2000000000000000
2013-04-01,1976.5333333333333333
2013-07-01,2244.7333333333333333
2013-10-01,2495.3000000000000000
2014-01-01,2627.7333333333333333
2014-04-01,2708.5333333333333333
2014-07-01,2805.1666666666666667
2014-10-01,2667.1000000000000000
2015-01-01,2678.2000000000000000
2015-04-01,2669.8333333333333333
2015-07-01,2672.2333333333333333
2015-10-01,2622.4666666666666667
2016-01-01,2490.2000000000000000
2016-04-01,2452.7666666666666667
2016-07-01,2369.9333333333333333
2016-10-01,2151.0333333333333333
2017-01-01,2283.0666666666666667
2017-04-01,2301.1333333333333333
2017-07-01,2354.0000000000000000
2017-10-01,2333.0000000000000000
2018-01-01,2272.4000000000000000
2018-04-01,2096.7666666666666667
2018-07-01,1976.2333333333333333
2018-10-01,1832.1666666666666667
2019-01-01,1715.6333333333333333
2019-04-01,1600.5000000000000000
2019-07-01,1556.7333333333333333
2019-10-01,1613.5333333333333333
2020-01-01,1847.1666666666666667
2020-04-01,3071.6000000000000000
2020-07-01,2790.3333333333333333
2020-10-01,3015.4333333333333333
2021-01-01,3407.0000000000000000
2021-04-01,3869.2666666666666667
2021-07-01,4092.4000000000000000
2021-10-01,4165.5333333333333333
2022-01-01,3850.1000000000000000
2022-04-01,3387.2333333333333333
2022-07-01,3232.0000000000000000
2022-10-01,3096.4000000000000000
2023-01-01,3103.3666666666666667
2023-04-01,3256.9000000000000000
2023-07-01,3215.4333333333333333
2023-10-01,3390.6666666666666667
2024-01-01,3539.2666666666666667
2024-04-01,3395.1000000000000000
2024-07-01,3286.7000000000000000
2024-10-01,.
